id;start_date;end_date;language
1;2020-04-06T09:11:00;2020-04-06T07:01:15;SPANISH
2;2020-04-05T14:01:11;2020-04-06T09:05:36;SPANISH
3;2020-04-06T04:56:30;2020-04-05T15:30:39;FRENCH
4;2020-04-05T20:14:01;2020-04-06T07:45:27;FRENCH
5;2020-04-06T05:44:19;2020-04-06T10:31:18;FRENCH
6;2020-04-05T23:36:40;2020-04-06T11:44:54;FRENCH
7;2020-04-06T01:22:00;2020-04-05T19:12:51;FRENCH
8;2020-04-06T00:18:13;2020-04-06T10:34:21;SPANISH
9;2020-04-05T22:59:22;2020-04-05T19:40:45;SPANISH
10;2020-04-06T07:11:26;2020-04-05T17:45:56;SPANISH
